SP;Sentence1;Sentence2;X (Human ratings of semanticsimilarity);S;Corpus-based method;Corpus statistic method
87;Water freezes at a certain temperature, which is zero degrees Celsius.;The temperature of boiling water is 100 C and the temperature of ice is 0 C.;3.08;0,068055556;4.00;0,233333333
88;We got home safely in the end, although it was a long journey.;Though it took many hours travel, we finally reached our house safely.;3.06;0,065972222;0,247916667;0,626388889
89;A man called Dave gave his fiancée a large diamond ring for their engagement.;The man presented a diamond to the woman and asked her to marry him.;3.22;0,050694444;4.00;0,720833333
90;I used to run quite a lot, in fact once I ran for North Tyneside.;I used to climb lots at school as we had a new climbing wall put in the gym.;0,051388889;0,052083333;4.00;0,095138889
91;I love to laugh as it makes me happy as well as those around me.;I thought we bargained that it would only cost me a pound.;0.08;0.32;0,597916667;2.075
92;Because I am the eldest one I should be more responsible.;Just because of my age, people shouldn't think I'm a responsible adult, but they do?;2.23;0,054861111;2.076;0,716666667
93;I need to dash into the kitchen because I think my chip pan is on fire.;In the event of a chip pan fire follow the instructions on the safety note.;1.07;1.03;0,224305556;0,528472222
94;Peter was a very large youth, whose size intimidated most people, much to his delight.;Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys.;0,108333333;0,065972222;0,604861111;0,105555556
95;I'm going to buy a grey jumper today, in half an hour.;That's a nice grey top, where did you get it from?;1.25;0,068055556;1.067;0,502083333
96;We got soaked in the rain today, but now we are nice and dry.;I was absolutely soaking wet last night, I drove my bike through the worst weather.;0,088888889;0,052083333;1.042;2.031
97;Global warming is what everyone is worrying about today.;The problem of global warming is a concern to every country in the world at the moment.;3.14;0,058333333;0,177083333;0,582638889
98;He was harshly punished for setting the fire alarms off.;He delayed his response, in order to create a tense atmosphere.;0.22;0.06;0,396527778;2.085
99;Midday is 12 o'clock in the middle of the day.;Noon is 12 o'clock in the middle of the day.;0,191666667;0.16;0,501388889;10.00
100;That's not a very good car, on the other hand mine is great.;This is a terrible noise level for a new car.;1.05;0,065972222;0,520138889;0,391666667
101;There was a terrible accident, a pileup,on the M16 today.;It was a terrible accident, no one believed it was possible.;2.33;0,064583333;4.00;0,245138889
102;After hours of getting lost we eventually arrived at the hotel.;After walking against the strong wind for hours he finally returned home safely.;1.09;0,063194444;0,429166667;0,421527778
103;The first thing I do in a morning is make myself a cup of coffee.;The first thing I do in the morning is have a cup of coffee.;0,184027778;0.39;4.00;0,178472222
104;Someone spilt a drink accidentally on my shirt, so I changed it.;It appears to have shrunk, it wasn't that size before I washed it.;0.48;0,05;0,613888889;0,248611111
105;I'm worried most seriously about the presentation, not the essay.;It is mostly very difficult to gain full marks in today's exam.;0,053472222;0,056944444;0,636805556;2.077
106;It is mostly very difficult to gain full marks in today's exam.;The exam was really difficult, I've got no idea if I'm going to pass.;2.54;0,068055556;0,466666667;3.095
107;Meet me on the hill behind the church in half an hour.;Join me on the hill at the back of the church in thirty minutes time.;0,189583333;0.25;0,443055556;0,770138889
108;If you don't console with a friend, there is a chance you may hurt their feelings.;One of the qualities of a good friend is the ability to console.;3.01;0,059027778;0,221527778;0,590972222
109;We tried to bargain with him but it made no difference, he still didn't change his mind.;I tried bargaining with him, but he just wouldn't listen.;3.43;0.54;0,56875;0,527083333
110;It gives me great pleasure to announce the winner of this year's beauty pageant.;It’s a real pleasure to tell you who has won our annual beauty parade.;0,186111111;0.24;0,554861111;2.081
111;They said they were hoping to go to America on holiday.;I like to cover myself up in lots of layers, I don't like the cold.;0.16;0.05;0,308333333;0,470833333
112;Will I have to drive far to get to the nearest petrol station?;Is it much farther for me to drive to the next gas station?;0,183333333;0.37;0,603472222;0,547222222
113;I think I know her from somewhere because she has a familiar face.;You have a very familiar face, where do I know you from?;3.36;0.08;0,559027778;1.05
114;I am sorry but I can't go out as I have a heap of work to do.;I’ve a heap of things to finish so I can’t go out I’m afraid.;3.06;0,05;0,44375;0,200694444
115;The responsible man felt very guilty when he crashed into the back of someone's car.;A slow driver can be annoying even though they are driving safely.;0,061111111;0,052083333;0,582638889;0,159027778
116;Get that wet dog off my brand new white sofa.;Make that wet hound get off my white couch –I only just bought it.;3.59;0,059722222;0,35625;0,679861111
117;He fought in the war in Iraq before being killed in a car crash.;The prejudice I suffered whilst on holiday in Iraq was quite alarming.;0.55;0,045138889;0,546527778;0,685416667
118;The cat was hungry so he went into the back garden to find lunch.;The hen walked about in the yard eating tasty grain.;1.02;0,056944444;0,404861111;0,696527778
119;My bedroom wall is lemon coloured but my mother says it is yellow.;Roses can be different colours, it has to be said red is the best though.;0,047222222;0,053472222;0,733333333;0,250694444
120;Would you like to drink this wine with your meal?;Will you drink a glass of wine while you eat?;3.56;0,045138889;0,371527778;0,290277778
121;Roses can be different colours, it has to be said red is the best though.;Roses come in many varieties and colours, but yellow is my favourite.;0,140972222;0.09;4.00;0,470138889
122;Flies can also carry a lot of disease and cause maggots.;I dry my hair after I wash it or I will get ill.;0.12;0.28;0,428472222;0,38125
123;Could you climb up the tree and save my cat from jumping please?;Can you get up that tree and rescue my cat otherwise it might jump?;0,182638889;0.34;2.56;0,711111111
124;The pleasure that I get from studying, is that I learn new things.;I have a doubt about this exam, we never got to study for it.;0,051388889;0,052777778;0,520138889;0,197916667
125;The perpetrators of war crimes are rotten to the core.;There are many global issues that everybody should be aware of, such as the threat of terrorism.;0,065972222;0,063194444;0,384722222;3.26
126;The damp was mostly in the very corner of the room.;The young lady was somewhat partially burnt from the sun.;0.11;0.31;0,359027778;2.04
127;We often ran to school because we were always late.;I knew I was late for my class so I ran all the way to school.;3.01;0,059027778;0,700694444;0,380555556
128;I hope you're taking this seriously, if not you can get out of here.;The difficult course meant that only the strong would survive.;0.05;0,060416667;0,054166667;0,396527778
129;The shores or shore of a sea, lake or wide river is the land along the edge of it.;An autograph is the signature of someone famous which is specially written for a fan to keep.;0.11;0.43;0,481944444;0,406944444
130;I bought a new guitar today, do you like it?;The weapon choice reflects the personality of the carrier.;0.16;0.34;0,476388889;
131;Iam so hungry I could eat a whole horse plus dessert.;I could have eaten another meal, I'm still starving.;3.06;0,059027778;4.00;
